FROMNODE,TONODE,DIRECTION,STATIONNUMBER,AutoAWDT,TruckAWDT,AWDT_YEAR,GrowthRate,pm1^DirPdFactor
50235,15801,IN,1,3009,404,2010,0.02,0.06
15801,50235,OUT,1,2847,382,2010,0.022,0.1
16149,16150,IN,2,265,18,2010,0.006,0.08
16150,16149,OUT,2,265,18,2010,0.006,0.08
999922,50481,IN,3,800,30,2010,0.006,0.09
50481,999922,OUT,3,769,29,2010,0.006,0.09
15837,15995,IN,4,3710,359,2010,0.009,0.06
15995,15837,OUT,4,3742,363,2010,0.009,0.09
15894,33731,IN,5,726,163,2010,0.009,0.04
33731,15894,OUT,5,547,123,2010,0.007,0.09
15983,15982,IN,6,779,57,2010,0.005,0.06
15982,15983,OUT,6,698,54,2010,0.005,0.09
15981,15980,IN,7,2274,486,2010,0.013,0.06
15980,15981,OUT,7,2242,480,2010,0.011,0.1
999924,50184,IN,8,1389,111,2010,0.009,0.08
50184,999924,OUT,8,1389,111,2010,0.009,0.11
999930,17404,IN,9,965,313,2010,0.011,0.08
17404,999930,OUT,9,865,281,2010,0.011,0.11
17388,17389,IN,10,16121,3649,2010,0.012,0.07
17387,17386,OUT,10,15542,3518,2010,0.011,0.07
999930,999933,IN,11,139,11,2010,0.01,0.1
999933,999930,OUT,11,155,12,2010,0.01,0.09
999940,999938,IN,12,284,7,2010,0.011,0.08
999938,999940,OUT,12,284,7,2010,0.01,0.08
50188,50075,IN,13,90,2,2010,0.01,0.08
50075,50188,OUT,13,90,2,2010,0.01,0.08
2481,50176,IN,14,148,0,2010,0.013,0.08
50176,2481,OUT,14,148,0,2010,0.013,0.08
50426,50012,IN,15,5550,390,2010,0.011,0.06
50012,50426,OUT,15,5589,393,2010,0.011,0.1
50055,50013,IN,16,1022,82,2010,0.009,0.06
50013,50055,OUT,16,1018,82,2010,0.01,0.08
50045,50336,IN,17,2146,172,2010,0.01,0.07
50336,50045,OUT,17,2524,202,2010,0.01,0.09
50264,17555,IN,18,1964,320,2010,0.009,0.06
17555,50264,OUT,18,1953,318,2010,0.009,0.12
50331,50332,IN,19,1292,104,2010,0.014,0.08
50332,50331,OUT,19,1292,104,2010,0.014,0.08
50063,50081,IN,20,848,131,2010,0.025,0.08
50081,50063,OUT,20,848,131,2010,0.03,0.08
36737,50081,IN,21,1288,149,2010,0.035,0.1
50081,36737,OUT,21,1288,149,2010,0.039,0.08
17808,17810,IN,22,24225,3945,2010,0.012,0.08
17813,17811,OUT,22,24802,4038,2010,0.013,0.07
50195,50232,IN,23,562,91,2010,0.021,0.06
50232,50195,OUT,23,609,99,2010,0.024,0.1
