"station","DIRECTION","AutoAWDT","TruckAWDT","AWDT_YEAR","pm1","GrowthRate","SWIMauto","SWIMtruck","SWIMtrkPct","daily_auto","daily_truck","pm1_auto","pm1_truck"
1,"IN",3009,404,2010,0.06,0.02,3524,656,0.156937799043062,3009,404,180.54,24.24
1,"OUT",2847,382,2010,0.1,0.022,3524,656,0.156937799043062,2847,382,284.7,38.2
2,"IN",265,18,2010,0.08,0.006,276,27,0.0891089108910891,265,18,21.2,1.44
2,"OUT",265,18,2010,0.08,0.006,276,27,0.0891089108910891,265,18,21.2,1.44
3,"IN",800,30,2010,0.09,0.006,909,25,0.0267665952890792,800,30,72,2.7
3,"OUT",769,29,2010,0.09,0.006,909,25,0.0267665952890792,769,29,69.21,2.61
4,"IN",3710,359,2010,0.06,0.009,1530,303,0.165302782324059,3710,359,222.6,21.54
4,"OUT",3742,363,2010,0.09,0.009,1530,303,0.165302782324059,3742,363,336.78,32.67
5,"IN",726,163,2010,0.04,0.009,733,50,0.0638569604086845,726,163,29.04,6.52
5,"OUT",547,123,2010,0.09,0.007,733,50,0.0638569604086845,547,123,49.23,11.07
6,"IN",779,57,2010,0.06,0.005,152,1,0.0065359477124183,779,57,46.74,3.42
6,"OUT",698,54,2010,0.09,0.005,152,1,0.0065359477124183,698,54,62.82,4.86
7,"IN",2274,486,2010,0.06,0.013,1766,819,0.316827852998066,2274,486,136.44,29.16
7,"OUT",2242,480,2010,0.1,0.011,1766,819,0.316827852998066,2242,480,224.2,48
8,"IN",1389,111,2010,0.08,0.009,447,25,0.0529661016949153,1389,111,111.12,8.88
8,"OUT",1389,111,2010,0.11,0.009,447,25,0.0529661016949153,1389,111,152.79,12.21
9,"IN",965,313,2010,0.08,0.011,1613,444,0.215848322800194,965,313,77.2,25.04
9,"OUT",865,281,2010,0.11,0.011,1613,444,0.215848322800194,865,281,95.15,30.91
10,"IN",16121,3649,2010,0.07,0.012,14847,7159,0.325320367172589,16121,3649,1128.47,255.43
10,"OUT",15542,3518,2010,0.07,0.011,14847,7159,0.325320367172589,15542,3518,1087.94,246.26
11,"IN",139,11,2010,0.1,0.01,216,17,0.0729613733905579,139,11,13.9,1.1
11,"OUT",155,12,2010,0.09,0.01,216,17,0.0729613733905579,155,12,13.95,1.08
12,"IN",284,7,2010,0.08,0.011,414,92,0.181818181818182,284,7,22.72,0.56
12,"OUT",284,7,2010,0.08,0.01,414,92,0.181818181818182,284,7,22.72,0.56
13,"IN",90,2,2010,0.08,0.01,494,95,0.161290322580645,90,2,7.2,0.16
13,"OUT",90,2,2010,0.08,0.01,494,95,0.161290322580645,90,2,7.2,0.16
14,"IN",148,0,2010,0.08,0.013,1244,41,0.0319066147859922,148,0,11.84,0
14,"OUT",148,0,2010,0.08,0.013,1244,41,0.0319066147859922,148,0,11.84,0
15,"IN",5550,390,2010,0.06,0.011,2251,408,0.15344114328695,5550,390,333,23.4
15,"OUT",5589,393,2010,0.1,0.011,2251,408,0.15344114328695,5589,393,558.9,39.3
16,"IN",1022,82,2010,0.06,0.009,396,43,0.0979498861047836,1022,82,61.32,4.92
16,"OUT",1018,82,2010,0.08,0.01,396,43,0.0979498861047836,1018,82,81.44,6.56
17,"IN",2146,172,2010,0.07,0.01,1996,83,0.0399230399230399,2146,172,150.22,12.04
17,"OUT",2524,202,2010,0.09,0.01,1996,83,0.0399230399230399,2524,202,227.16,18.18
18,"IN",1964,320,2010,0.06,0.009,840,29,0.0333716915995397,1964,320,117.84,19.2
18,"OUT",1953,318,2010,0.12,0.009,840,29,0.0333716915995397,1953,318,234.36,38.16
19,"IN",1292,104,2010,0.08,0.014,298,64,0.176795580110497,1292,104,103.36,8.32
19,"OUT",1292,104,2010,0.08,0.014,298,64,0.176795580110497,1292,104,103.36,8.32
20,"IN",848,131,2010,0.08,0.025,728,372,0.338181818181818,848,131,67.84,10.48
20,"OUT",848,131,2010,0.08,0.03,728,372,0.338181818181818,848,131,67.84,10.48
21,"IN",1288,149,2010,0.1,0.035,1730,72,0.0399556048834628,1288,149,128.8,14.9
21,"OUT",1288,149,2010,0.08,0.039,1730,72,0.0399556048834628,1288,149,103.04,11.92
22,"IN",24225,3945,2010,0.08,0.012,21400,8805,0.291508028472107,24225,3945,1938,315.6
22,"OUT",24802,4038,2010,0.07,0.013,21400,8805,0.291508028472107,24802,4038,1736.14,282.66
23,"IN",562,91,2010,0.06,0.021,551,342,0.382978723404255,562,91,33.72,5.46
23,"OUT",609,99,2010,0.1,0.024,551,342,0.382978723404255,609,99,60.9,9.9
