TAZ,informalLot,spaceType,spaces,terminalTime
196,1,0,0,1.5
196,1,1,0,1.5
196,1,2,100,1.5
198,1,0,0,1.5
198,1,1,0,1.5
198,1,2,100,1.5
199,1,0,0,1
199,1,1,0,1
199,1,2,60,1
201,1,0,0,1
201,1,1,0,1
201,1,2,70,1
202,1,0,0,2
202,1,1,0,2
202,1,2,220,2
203,1,0,0,2
203,1,1,0,2
203,1,2,200,2
204,1,0,0,2
204,1,1,0,2
204,1,2,400,2
205,1,0,0,2.5
205,1,1,0,2.5
205,1,2,220,2.5
209,0,0,37,0.5
209,0,1,0,0.5
209,0,2,0,0.5
210,0,0,49,0.5
210,0,1,123,0.5
210,0,2,6,0.5
212,1,0,0,1
212,1,1,0,1
212,1,2,60,1
213,1,0,0,1
213,1,1,0,1
213,1,2,20,1
214,1,0,0,1.5
214,1,1,0,1.5
214,1,2,100,1.5
215,1,0,0,1.5
215,1,1,0,1.5
215,1,2,60,1.5
230,1,0,0,4
230,1,1,0,4
230,1,2,100,4
231,1,0,0,4
231,1,1,0,4
231,1,2,80,4
251,1,0,0,4
251,1,1,0,4
251,1,2,80,4
301,1,0,0,1
301,1,1,0,1
301,1,2,20,1
302,1,0,0,4
302,1,1,0,4
302,1,2,300,4
370,0,0,45,0.5
370,0,1,0,0.5
370,0,2,0,0.5
371,0,0,93,4
371,0,1,1118,4
371,0,2,31,4
373,0,0,0,0.5
373,0,1,53,0.5
373,0,2,0,0.5
380,0,0,0,1
380,0,1,0,1
380,0,2,91,1
382,0,0,0,1
382,0,1,0,1
382,0,2,149,1
383,0,0,0,0.5
383,0,1,0,0.5
383,0,2,28,0.5
384,0,0,68,0.5
384,0,1,0,0.5
384,0,2,35,0.5
385,0,0,0,0.5
385,0,1,0,0.5
385,0,2,0,0.5
387,0,0,0,0.5
387,0,1,385,0.5
387,0,2,3,0.5
388,0,0,22,0.5
388,0,1,77,0.5
388,0,2,8,0.5
389,0,0,119,0.5
389,0,1,369,0.5
389,0,2,0,0.5
390,0,0,68,0.5
390,0,1,46,0.5
390,0,2,33,0.5
391,0,0,3,0.5
391,0,1,0,0.5
391,0,2,0,0.5
393,0,0,113,0.5
393,0,1,0,0.5
393,0,2,0,0.5
394,0,0,81,0.5
394,0,1,0,0.5
394,0,2,0,0.5
396,0,0,27,0.5
396,0,1,6,0.5
396,0,2,0,0.5
397,0,0,28,0.5
397,0,1,0,0.5
397,0,2,0,0.5
398,0,0,39,0.5
398,0,1,241,0.5
398,0,2,0,0.5
399,1,0,0,2.5
399,1,1,0,2.5
399,1,2,20,2.5
403,1,0,0,1.5
403,1,1,0,1.5
403,1,2,80,1.5
415,0,0,0,0.5
415,0,1,171,0.5
415,0,2,0,0.5
417,0,0,34,0.5
417,0,1,0,0.5
417,0,2,0,0.5
418,0,0,107,0.5
418,0,1,203,0.5
418,0,2,0,0.5
422,0,0,139,0.5
422,0,1,51,0.5
422,0,2,1,0.5
423,0,0,97,0.5
423,0,1,76,0.5
423,0,2,0,0.5
424,0,0,164,0.5
424,0,1,0,0.5
424,0,2,0,0.5
425,0,0,118,0.5
425,0,1,0,0.5
425,0,2,0,0.5
426,0,0,4,0.5
426,0,1,0,0.5
426,0,2,0,0.5
428,0,0,39,0.5
428,0,1,0,0.5
428,0,2,0,0.5
429,0,0,0,0.5
429,0,1,0,0.5
429,0,2,0,0.5
430,0,0,0,0.5
430,0,1,0,0.5
430,0,2,75,0.5
433,0,0,37,0.5
433,0,1,0,0.5
433,0,2,0,0.5
436,0,0,0,0.5
436,0,1,0,0.5
436,0,2,90,0.5
437,0,0,105,0.5
437,0,1,0,0.5
437,0,2,32,0.5
438,0,0,10,0.5
438,0,1,81,0.5
438,0,2,14,0.5
439,0,0,13,0.5
439,0,1,0,0.5
439,0,2,4,0.5
440,0,0,113,0.5
440,0,1,60,0.5
440,0,2,0,0.5
441,0,0,0,0.5
441,0,1,0,0.5
441,0,2,21,0.5
442,0,0,0,0.5
442,0,1,94,0.5
442,0,2,0,0.5
443,0,0,16,0.5
443,0,1,0,0.5
443,0,2,85,0.5
447,0,0,49,0.5
447,0,1,1123,0.5
447,0,2,8,0.5
