RemainingLow,RemainingHigh,StopNumber,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,0.402292001,0.597707999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,0.402292001,0.597707999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,0.094561955,0.698231202,0.207206844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,0.599334534,0.400665466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,3,0.233882458,0.580665976,0.185451566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,4,0.233882458,0.580665976,0.185451566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,1,0.074073512,0.377322661,0.408556247,0.14004758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,2,0.156432016,0.484847527,0.358720457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,0.098874985,0.471773758,0.255761869,0.173589388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,4,0.098874985,0.471773758,0.255761869,0.173589388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,1,0.385065417,0.254070677,0,0.237922854,0.122941052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,2,0.793060871,0.206939129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,3,0.102486909,0.068045788,0.247729426,0.396371466,0.185366411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,1,0.115902342,0.327910891,0,0.130743774,0.261487547,0.163955446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,2,0.239899651,0.239899651,0.520200698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,3,0.168270251,0,0,0.310187795,0.135664512,0.385877442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,4,0,0,0,0.590638078,0,0.409361922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,1,0.504650481,0.113699021,0.169035385,0.212615114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,2,0.504650481,0.113699021,0.169035385,0.212615114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,3,0.128678467,0.197948631,0.231245172,0.139406966,0.272911614,0.029809149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,4,0.128678467,0.197948631,0.231245172,0.139406966,0.272911614,0.029809149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,1,0.124793076,0.072380497,0.624995316,0.037625175,0,0.055319689,0.084886246,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,2,0.134395035,0.206224767,0,0,0,0.659380198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,3,0,0.183324636,0.1320845,0.250837815,0.1320845,0,0,0.301668549,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,1,0.023967568,0.539216341,0.184740494,0,0.061951257,0.09506217,0,0,0.09506217,0,0,0,0,0,0,0,0,0,0,0,0
8,8,2,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,3,0.133769256,0.057798673,0.08552613,0.32339104,0.05047923,0.102265179,0.064135083,0.182635409,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,4,0,0,0,0,0,0,0,0.652249632,0.347750368,0,0,0,0,0,0,0,0,0,0,0,0
9,9,1,0.585914685,0,0.230375711,0.183709603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,2,0.585914685,0,0.230375711,0.183709603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,3,0.305983493,0.040167859,0.17238665,0.224146111,0.07536309,0.055069122,0.032031248,0,0,0.094852426,0,0,0,0,0,0,0,0,0,0,0
9,9,4,0,0,0,0,0,0,0.170542568,0.124395116,0.168363419,0.536698896,0,0,0,0,0,0,0,0,0,0,0
10,10,1,0,0.368728314,0.214472784,0.416798903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,10,3,0.10742323,0.042934982,0.058862778,0.153905206,0.10179776,0.26706049,0.167034838,0,0.034237848,0.008632224,0.058110644,0,0,0,0,0,0,0,0,0,0
10,10,4,0,0,0,0,0,0.143386728,0,0.162079853,0.162079853,0.213037779,0.319415787,0,0,0,0,0,0,0,0,0,0
11,11,1,0.646014849,0,0.353985151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,2,0.646014849,0,0.353985151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,3,0.090828423,0.013583606,0.00772663,0.217853817,0.139572913,0.119112746,0.06907674,0.252042749,0,0.030646005,0,0.059556373,0,0,0,0,0,0,0,0,0
11,11,4,0,0,0,0,0,0,0,0.155964139,0.045823741,0.324447321,0.140815072,0.332949727,0,0,0,0,0,0,0,0,0
12,12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,2,0.339747193,0,0.660252807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,3,0.018939002,0,0.337902421,0.210078832,0.323936251,0.109143495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,4,0,0,0,0,0.046368171,0,0.054225193,0.339710371,0.03955229,0.129689658,0.061294454,0.315179836,0.013980027,0,0,0,0,0,0,0,0
13,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,3,0.243642382,0.049145065,0.115350426,0.067376645,0,0.282732565,0,0.076160443,0.077257427,0,0.039189983,0.049145065,0,0,0,0,0,0,0,0,0
13,13,4,0,0,0,0,0,0,0,0.203181849,0.063194851,0.211125178,0.130649788,0.117233011,0.228520492,0.046094831,0,0,0,0,0,0,0
14,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,14,3,0.174746611,0.100359719,0.05340798,0.083441095,0.054099246,0.0890472,0,0.085870118,0.070927538,0.031467114,0.012883709,0,0.08556636,0,0.158183309,0,0,0,0,0,0
14,14,4,0,0,0,0,0,0,0.011414568,0.231964646,0.108092909,0.098488245,0.055532914,0.225653234,0.143011229,0.082133591,0.043708663,0,0,0,0,0,0
15,15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,2,0,0.29575453,0,0.70424547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,3,0.083820167,0.209496341,0,0.098124726,0.136086227,0.068433914,0.02679103,0,0.110849439,0.046059976,0.05206475,0.033596516,0,0.134676913,0,0,0,0,0,0,0
15,15,4,0,0,0,0,0,0,0,0.062427652,0.152368349,0.114041163,0.072608166,0.314053732,0.060920808,0.152262716,0,0.071317414,0,0,0,0,0
16,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,2,0,0,0,0.731823281,0,0,0,0,0,0,0.268176719,0,0,0,0,0,0,0,0,0,0
16,16,3,0.245076239,0.089697588,0.124337994,0,0.151921419,0,0.157968416,0.05383903,0,0,0,0,0.105847046,0,0,0.071312269,0,0,0,0,0
16,16,4,0,0,0,0,0,0,0.018985252,0,0.150392214,0.188118129,0.209447373,0.153383578,0.112172815,0.041055106,0.05691022,0,0.069535314,0,0,0,0
17,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,3,0.246767652,0,0,0.182034588,0.262673953,0,0.178057215,0,0,0,0,0,0,0.103724849,0,0.026741743,0,0,0,0,0
17,17,4,0,0,0,0,0.010516561,0,0,0.152051854,0.071122406,0.216425758,0.040791234,0.237159597,0.097044797,0,0,0.071587623,0.10330017,0,0,0,0
18,18,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
18,18,2,0,0,0,0,0.268176719,0,0,0,0,0,0,0,0,0.731823281,0,0,0,0,0,0,0
18,18,3,0.288593792,0,0,0,0,0,0.050099519,0.338259192,0.050099519,0,0.136715799,0,0,0.086132659,0.050099519,0,0,0,0,0,0
18,18,4,0,0,0,0,0,0,0.039395299,0.143414555,0.139060701,0.24834408,0.084745792,0.163878743,0.154363517,0,0,0,0,0,0.026797312,0,0
19,48,1,0,0.076209187,0,0,0,0,0.089122728,0.260590101,0,0,0,0.100741532,0,0,0,0,0,0,0.295090996,0.178245456,0
19,48,2,0,0.196569575,0.574758949,0,0,0,0,0.114335738,0,0,0,0,0,0,0.114335738,0,0,0,0,0,0
19,48,3,0.210200824,0.157238568,0.05685991,0.144035733,0.069355659,0.034141763,0.039109289,0.08232229,0.03423429,0.029036015,0.036715983,0.029036015,0.037947181,0,0,0,0.015697989,0,0.02406849,0,0
19,48,4,0,0,0,0.006620611,0.009658254,0.003850914,0.028208685,0.090627015,0.184846064,0.213289376,0.079081299,0.093884766,0.075806656,0.05670639,0.020505912,0.051944931,0.025012369,0.012312858,0.014104342,0.033539558,0
