workStatus,Work,University,Maintenance,Discretionary,Percent
0,0,0,0,0,0.179543
0,0,0,0,1,0.060996
0,0,0,1,0,0.057632
0,0,0,2,0,0.013283
0,0,1,0,0,0.46513
0,0,1,0,1,0.09551
0,0,1,0,2,0.004005
0,0,1,1,0,0.059396
0,0,1,2,0,0.013283
0,0,2,0,0,0.037939
0,0,2,1,0,0.013283
1,0,0,0,0,0.132427
1,0,0,0,1,0.010702
1,0,0,0,2,0.021963
1,0,0,1,0,0.04777
1,0,0,2,1,0.003567
1,0,0,3,0,0.003567
1,0,1,0,0,0.328984
1,0,1,0,1,0.027232
1,0,1,1,0,0.007135
1,0,1,1,1,0.003567
1,0,2,0,0,0.044644
1,0,2,1,0,0.052708
1,0,2,1,1,0.011832
1,1,0,0,0,0.185403
1,1,0,0,1,0.018967
1,1,0,1,0,0.007135
1,1,1,0,0,0.054464
1,1,1,0,1,0.003567
1,1,1,1,0,0.003567
1,1,1,1,1,0.011832
1,2,0,0,0,0.0154
1,2,0,2,0,0.003567
